Lote,Cantidad entregada (L),ph 1,ph 2,ph 3,turbidez 1,turbidez 2,turbidez 3,linea 1,linea 2,linea 3,Volumen de cultivo,Turbidez inicial cultivo inóculo,Turbidez final cultivo inóculo,Viabilidad final cultivo,Orden en el encadenado,Volumen de inóculo utilizado,Turbidez inicio cultivo final,Turbidez final cultivo final,Centrifugación 1 turbidez,Centrigugación 2 turbidez,Producto 1,Producto 2
23023,13.7,5.496,5.504,5.5200000000000005,28.32,27.92,32,1,1,0,155.20000000000002,18.24,31.680000000000003,106400000,1,77.60000000000001,17.12,74.4,26.56,20.880000000000003,1861.84,2.9600000000000004
23024,13.7,5.496,5.504,5.5200000000000005,28.32,27.92,32,1,1,0,155.20000000000002,18.24,31.680000000000003,106400000,1,76.0,16.56,80.80000000000001,24.56,10.4,2161.1200000000003,2.8000000000000003
23025,13.7,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,157.60000000000002,16.96,27.6,84800000,1,77.2,17.76,87.2,30.64,29.360000000000003,2044.7200000000005,4.4799999999999995
23026,13.8,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,157.60000000000002,16.96,27.6,84800000,1,78.80000000000001,18.24,81.2,26.480000000000004,11.6,2263.2000000000003,3.44
23027,13.7,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,168.0,18.880000000000003,23.52,104800000,1,83.2,16.880000000000003,68.08,26.24,9.840000000000002,1407.68,4.08
23028,13.7,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,168.0,18.880000000000003,23.52,104800000,1,83.60000000000001,18.56,67.2,27.28,12.16,1373.2,4.720000000000001
23029,13.7,5.5200000000000005,5.5200000000000005,N.A,30,30.32,N.A,1,1,0,162.72000000000003,18.4,28.0,96800000,1,80.56,16.96,85.60000000000001,27.84,13.36,2063.68,6.720000000000001
23030,13.9,5.5200000000000005,5.5200000000000005,N.A,30,30.32,N.A,1,1,0,162.72000000000003,18.4,28.0,96800000,1,81.36000000000001,19.36,76.0,28.72,12.56,2019.68,5.84
23031,13.8,5.5200000000000005,5.5120000000000005,N.A,32.080000000000005,32.96,N.A,1,1,0,166.08,17.6,28.08,105600000,1,82.24000000000001,18.64,84.0,29.52,,1816.08,6.16
23032,13.7,5.5200000000000005,5.5120000000000005,N.A,32.080000000000005,32.96,N.A,1,1,0,166.08,17.6,28.08,105600000,1,83.04,18.880000000000003,76.0,29.44,,1865.36,6.56
23033,13.8,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,165.60000000000002,16.96,24.24,104000000,1,82.4,17.84,72.48,29.12,16.0,1628.88,5.5200000000000005
23034,13.8,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,165.60000000000002,16.96,24.24,104000000,1,83.2,16.32,69.12,24.0,16.0,1592.0,5.5200000000000005
23035,13.8,5.5200000000000005,5.5200000000000005,N.A,25.680000000000003,26.56,N.A,1,0,0,85.92000000000002,18.0,26.24,81600000,1,85.92000000000002,17.76,59.52000000000001,25.200000000000003,15.12,1499.7600000000002,4.64
23036,13.7,5.384,5.464,5.5280000000000005,35.44,32.96,25.760000000000005,1,1,0,164.4,14.96,21.76,88000000,1,82.0,16.400000000000002,65.92,25.84,12.880000000000004,1403.44,4.24
23038,14.0,5.6240000000000006,5.5600000000000005,5.5520000000000005,36.4,25.28,24.4,0,1,1,168.72000000000003,12.32,22.32,115200000,1,83.60000000000001,15.28,67.92,23.040000000000003,13.52,1674.6400000000003,4.4
23039,13.7,5.6240000000000006,5.5600000000000005,5.5520000000000005,36.4,25.28,24.4,0,1,1,168.72000000000003,12.32,22.32,115200000,1,80.4,17.84,67.2,28.480000000000004,13.840000000000002,1487.44,3.6
23040,13.8,5.5120000000000005,5.432,5.48,31.680000000000003,33.68,25.040000000000003,0,1,1,165.60000000000002,13.92,32.32,154400000,1,77.60000000000001,15.92,83.2,27.44,,2129.92,8.16
23041,13.8,5.5120000000000005,5.432,5.48,31.680000000000003,33.68,25.040000000000003,0,1,1,165.60000000000002,13.92,24.480000000000004,107200000,1,82.80000000000001,15.6,76.80000000000001,23.28,21.36,1873.68,7.28
23042,13.7,5.5120000000000005,5.472,,24.8,27.12,,0,1,0,79.2,14.32,24.64,108800000,1,79.2,15.28,68.96000000000001,24.4,18.32,1609.7600000000002,6.4
23043,13.7,5.5120000000000005,5.44,6.112,31.44,31.6,19.6,1,1,0,84.0,13.2,24.24,87200000,1,84.0,16.240000000000002,64.96000000000001,24.64,18.56,1427.9120000000005,4.4799999999999995
23044,13.7,5.488,5.5520000000000005,,30.480000000000004,26.8,,1,1,0,84.0,14.480000000000002,19.680000000000003,75767200,1,81.2,14.880000000000004,56.48,23.200000000000003,11.6,1240.7040000000002,4.960000000000001
